date,entry_price,f_close_ema50,f_ema50_ema200,f_close_ema200,f_ema200_ema400,f_adx,f_atr_pct,f_rsi,f_mom24_pct,f_vol72,f_btc_riskon,f_hour,f_dow,label,ret_tb
2021-01-17 21:00:00+00:00,3.8552,0.09112782827872157,0.08457788959181212,0.18341311726943288,0.1623386318774973,21.14851529236242,0.039632258232783,61.06679716735525,0.11664764473957252,0.022733782695114273,0.0,21.0,6.0,1,0.07926451646556609
2021-01-20 19:00:00+00:00,3.674,0.002007580684619148,0.046643604283497675,0.048744825767137456,0.13566389884171937,28.35812691579478,0.02450303088567327,53.98030742373516,0.012112139357648275,0.016381245938821357,0.0,19.0,2.0,0,-0.049006061771346476
2021-01-24 04:00:00+00:00,3.5742,0.033930873018568786,0.002496176172497089,0.036511746627806874,0.08111850060545778,20.225214699129733,0.016618967990935082,62.75877978266047,0.030636226288400122,0.020159930139439248,0.0,4.0,6.0,1,0.03323793598187019
2021-01-25 19:00:00+00:00,3.893,0.08066218901717503,0.026599503362892296,0.10940726654808786,0.07352361259280715,20.89624079813668,0.026643380582233856,66.61926825422869,0.08810685846390957,0.014732990266663387,0.0,19.0,0.0,0,-0.05328676116446773
2021-01-30 13:00:00+00:00,3.9253,0.029639356338418965,0.027707086147233273,0.05816766268506934,0.059477507057292156,20.424946983692333,0.017091407805824382,63.98573288090106,0.037525794206812214,0.010030556974527458,1.0,13.0,5.0,1,0.03418281561164882
2021-02-06 21:00:00+00:00,6.3401,0.026229755014644862,0.15118205546059627,0.18137727875258314,0.14499931592949222,26.922894736273324,0.02491984958375305,57.41039748115169,-0.06069304900553624,0.0188750123521979,1.0,21.0,5.0,0,-0.04983969916750608
2021-02-14 02:00:00+00:00,9.2053,0.01586334293188818,0.1244396457523369,0.14227701745911725,0.1748884193465523,24.044703829924913,0.02238192878687309,56.36219929879475,-0.007321868923337753,0.015300711627756232,1.0,2.0,6.0,0,-0.044763857573746235
2021-02-15 13:00:00+00:00,8.6703,0.001466041698133802,0.05472248526575685,0.05626875240911566,0.15056423898037474,22.53683130682655,0.022351149551783044,54.98668008334819,0.00489025754587487,0.016002616940241122,1.0,13.0,0.0,1,0.044702299103565935
2021-02-17 17:00:00+00:00,8.3101,0.00302158253866458,0.0013806343103413,0.004406388549530238,0.11456487355659761,25.649731924834605,0.022882293904368474,56.3586369928749,0.019181477960553996,0.016760130934657464,1.0,17.0,2.0,1,0.045764587808737156
2021-02-17 19:00:00+00:00,8.4013,0.013537477644417484,0.001716199149804476,0.015276909801845706,0.11336966006221694,23.54936036911448,0.022205596125625737,59.082749217469534,0.030899979765036445,0.01685887489682095,1.0,19.0,2.0,1,0.04441119225125134
2021-02-18 04:00:00+00:00,8.5383,0.026427105713185073,0.004161710307765576,0.03069879797920172,0.10837734424449352,20.629793709403618,0.018743239813608474,62.659231126117874,0.11036154738062606,0.014484117835554606,1.0,4.0,3.0,1,0.03748647962721696
2021-02-26 16:00:00+00:00,15.0251,0.015357767059563043,0.1371125848192951,0.1545760950174475,0.17240177529826473,31.340242639554155,0.034263745681160536,56.27663976364816,-0.05249216311372306,0.023502612008497126,0.0,16.0,4.0,0,-0.06852749136232117
2021-02-28 19:00:00+00:00,13.2421,0.012587055335412156,0.00046008404747510667,0.01305293048625189,0.12909380450799546,35.02819194510467,0.034865934484322895,59.20169084389196,-0.04401114626834104,0.025714455747933164,0.0,19.0,6.0,1,0.0697318689686457
2021-03-08 17:00:00+00:00,13.7084,0.029294782523079155,0.0008877225675028022,0.030208510730137528,0.04618997175812689,22.007467186745306,0.016335958719067886,59.75005646594298,-0.02165825333372245,0.011180782210746417,1.0,17.0,0.0,0,-0.0326719174381358
2021-03-09 10:00:00+00:00,14.3583,0.05692382226333903,0.014755730440454196,0.07251950528075124,0.04519274616846425,20.996698168871408,0.015171398845751562,68.13211239153456,0.0723971500804413,0.011858117906850065,1.0,10.0,1.0,1,0.030342797691503165
